volume_name,volume_id,issue_id,cover_date
Galactus the Devourer;9110;66886;1999-11-01
Earth X;6354;66291;1999-11-01
Bishop: The Last X-Man;6352;65814;1999-11-01
Deadpool;6000;50740;1999-11-01
Contest of Champions II;6353;46127;1999-11-01
Fantastic Four;6211;46125;1999-11-01
X-Men: True Friends;6361;46118;1999-11-01
Contest of Champions II;6353;46099;1999-11-01
Spider-Girl;6218;46092;1999-11-01
The Amazing Spider-Man;78701;113441;1999-10-31
Webspinners: Tales of Spider-Man;9375;75632;1999-10-26
Spider-Man: Chapter One;6219;46082;1999-10-18
Spider-Man Unlimited;10760;268921;1999-10-01
X-Man;5567;132384;1999-10-01
Spider-Woman;9573;82313;1999-10-01
Peter Parker: Spider-Man;9142;68487;1999-10-01
Galactus the Devourer;9110;66885;1999-10-01
Fantastic Four;6211;46081;1999-10-01
Contest of Champions II;6353;46057;1999-10-01
The Amazing Spider-Man;78701;113440;1999-09-30
Webspinners: Tales of Spider-Man;9375;75631;1999-09-26
Spider-Man: Chapter One;6219;46036;1999-09-18
Nova;20997;126199;1999-09-01
Peter Parker: Spider-Man;9142;68486;1999-09-01
Earth X;6354;66289;1999-09-01
Contest of Champions II;6353;46012;1999-09-01
Mutant X;6217;46005;1999-09-01
Peter Parker: Spider-Man 1999;39919;269238;1999-08-31
The Amazing Spider-Man;78701;113439;1999-08-31
Webspinners: Tales of Spider-Man;9375;75630;1999-08-26
Spider-Man: Chapter One;6219;45989;1999-08-18
Spider-Woman;9573;82311;1999-08-01
Peter Parker: Spider-Man;9142;68485;1999-08-01
Spider-Girl;6218;45957;1999-08-01
The Amazing Spider-Man;78701;113438;1999-07-31
Webspinners: Tales of Spider-Man;9375;75629;1999-07-26
Spider-Man: Chapter One;6219;45944;1999-07-18
Incredible Hulk vs Superman;18929;111966;1999-07-01
Spider-Woman;9573;82310;1999-07-01
Peter Parker: Spider-Man;9142;68484;1999-07-01
Spider-Girl;6218;45922;1999-07-01
The Amazing Spider-Man 1999;60440;143311;1999-06-30
Spider-Girl 1999;23208;139640;1999-06-30
The Amazing Spider-Man;78701;113437;1999-06-30
Webspinners: Tales of Spider-Man;9375;75628;1999-06-30
Spider-Man: Chapter One;6219;45905;1999-06-18
Black Widow: Web of Intrigue;32505;205562;1999-06-01
Peter Parker: Spider-Man;9142;68483;1999-06-01
Earth X;6354;66286;1999-06-01
Daredevil;6209;66257;1999-06-01
X-Men;4605;65788;1999-06-01
Spider-Girl;6218;45877;1999-06-01
The Amazing Spider-Man;78701;113436;1999-05-31
Webspinners: Tales of Spider-Man;9375;75627;1999-05-26
Spider-Man: Chapter One;6219;45859;1999-05-18
Spider-Man: Chapter One;6219;45815;1999-05-18
Fantastic Four 1999;60494;111017;1999-05-05
Avengers: Visionaries;54836;373088;1999-05-01
Nova;20997;125695;1999-05-01
X-Man;5567;74573;1999-05-01
Peter Parker: Spider-Man;9142;68482;1999-05-01
Avengers;7084;50775;1999-05-01
Spider-Girl;6218;45833;1999-05-01
Marvel Super Hero Island Adventures;20064;119746;1999-04-30
The Amazing Spider-Man;78701;113435;1999-04-30
Webspinners: Tales of Spider-Man;9375;75626;1999-04-26
Spider-Man: Chapter One;6219;45811;1999-04-18
Slingers;11305;99243;1999-04-01
Peter Parker: Spider-Man;9142;68481;1999-04-01
Mutant X;6217;45787;1999-04-01
Spider-Girl;6218;45784;1999-04-01
Earth X;6354;45773;1999-04-01
The Amazing Spider-Man;78701;113434;1999-03-31
Spider-Girl;6218;46004;1999-03-31
