volume_name,volume_id,issue_id,cover_date
Marvel Age: Spider-Man;21401;241145;2004-12-01
Marvel Age: Spider-Man;21401;241144;2004-12-01
Marvel Age Spider-Man Team-Up;21693;130901;2004-12-01
Venom vs. Carnage;18079;118702;2004-12-01
Spider-Man/Doctor Octopus: Year One;19445;116493;2004-12-01
Avengers;7084;101195;2004-12-01
Powerless;11364;99685;2004-12-01
Spectacular Spider-Man;11069;97338;2004-12-01
Ultimate Spider-Man;7257;95691;2004-12-01
Ultimate Spider-Man;7257;95690;2004-12-01
Spider-Girl;6218;93546;2004-12-01
Venom: Twist;32471;204696;2004-11-30
The Amazing Spider-Man;2127;113499;2004-11-30
Venom;11068;101773;2004-11-30
Mary Jane;11304;99235;2004-11-30
The Pulse: Thin Air;35341;232968;2004-11-24
Marvel Age: Spider-Man;21401;241143;2004-11-16
Marvel Encyclopedia;18366;132597;2004-11-10
Daredevil: The Widow;43111;294045;2004-11-01
Marvel Previews;28516;258712;2004-11-01
She-Hulk: Single Green Female;27393;166888;2004-11-01
Marvel Age: Spider-Man;21401;141438;2004-11-01
Marvel Age Spider-Man Team-Up;21693;130899;2004-11-01
Spider-Man/Doctor Octopus: Year One;19445;116492;2004-11-01
Spider-Man/Doctor Octopus: Year One;19445;116491;2004-11-01
Powerless;11364;99684;2004-11-01
The Pulse;11310;99295;2004-11-01
Spider-Man Unlimited;11306;99255;2004-11-01
Spectacular Spider-Man;11069;97337;2004-11-01
Daredevil;6209;94295;2004-11-01
Ultimate Spider-Man;7257;93551;2004-11-01
Avengers;7084;90340;2004-11-01
The Amazing Spider-Man;2127;113498;2004-10-31
Venom;11068;101772;2004-10-31
Mary Jane;11304;99234;2004-10-31
The Amazing Spider-Man: The Book of Ezekiel;65761;167591;2004-10-25
Marvel Age: Spider-Man;21401;241142;2004-10-01
Spectacular Spider-Man: Here There Be Monsters;30304;186651;2004-10-01
Marvel Age: Spider-Man;21401;141393;2004-10-01
Spider-Girl;6218;117107;2004-10-01
Ultimate Spider-Man;7257;110260;2004-10-01
Secret War;18234;106865;2004-10-01
Venom vs. Carnage;18079;105922;2004-10-01
Powerless;11364;99683;2004-10-01
Spectacular Spider-Man;11069;97336;2004-10-01
Ultimate Spider-Man;7257;93550;2004-10-01
Avengers;7084;90339;2004-10-01
Venom;11068;101771;2004-09-30
Mary Jane;11304;99233;2004-09-30
Marvel Age: Spider-Man;21401;129450;2004-09-01
Marvel Age: Spider-Man;21401;129349;2004-09-01
Spider-Girl;6218;117104;2004-09-01
Ultimate Spider-Man;7257;110259;2004-09-01
